B_0_vac,B_m,N_rho,Rev_per_vol_opt,n_20_opt,E_b100_opt,P_nbi_opt,NWL_at_opt_Rev_per_vol,a_0_opt,a_0_limit_opt,L_mirror_opt,V_plasma_opt,a_w_opt,B_w_opt,q_w_opt
4.25,28,12,3898084817.667308,2.8832665330661316,0.4224448897795591,14.994509522995669,0.9764552730712557,0.1104241655791532,DCLC,3.0,0.0747266151389172,0.7221368792071499,0.08422897762273786,4.2423526434974175
4.5,28,12,4393678114.474616,2.9674348697394786,0.44849699398797593,14.996868007600025,1.0522100732740007,0.10661084683247535,DCLC,3.0,0.07013010821327276,0.7095584203741323,0.08678731790755602,4.400513719237732
4.75,28,12,4901720844.975302,3.087633600534402,0.4565130260521042,14.972568880878228,1.0927430456971263,0.1005094097258257,DCLC,3.0,0.06279446196001,0.6889549470131984,0.08755946228245107,4.657983564396055
5.0,28,12,5119131940.306164,3.1135604542418163,0.5006012024048097,14.940459482396145,1.1832612633991055,0.1,eng,3.0,0.0625243058801958,0.6874204662885639,0.09169009928022893,4.680479427431735
5.25,28,12,5092174805.3878145,3.122087925851703,0.5507014028056112,14.847955361283695,1.2633003170992856,0.1,eng,3.0,0.06287964660870965,0.6877522736660353,0.09616888707398087,4.658779245937987
5.5,28,12,5066200505.300394,3.139445557782231,0.6028056112224449,14.867911375091921,1.3402188345352062,0.1,eng,3.0,0.06322579453451022,0.6879563850887003,0.10061555842651339,4.672524982358501
5.75,28,12,5040848534.854438,3.1506763527054105,0.6589178356713427,14.830203245968614,1.4018995627343005,0.1,eng,3.0,0.06356572299008417,0.6876207577149733,0.10519428119775596,4.674221892399309
6.0,28,12,5015722972.340068,3.160320641282565,0.7170340681362726,14.80835243222502,1.4516642358018532,0.1,eng,3.0,0.06390364995540902,0.6875076245397415,0.10973530980202853,4.67619424255568
6.25,28,12,4991131504.644163,3.1735450066800266,0.7771543086172343,14.84824034497304,1.4954590845921245,0.1,eng,3.0,0.06423621445138888,0.6874327414458601,0.11424313922237517,4.695608475918331
6.5,28,12,4965717341.462085,3.1628674014696054,0.8412825651302605,14.675355832451675,1.5086632812801766,0.1,eng,3.0,0.06457728732613517,0.6875098733110869,0.11886320685654243,4.6445134699000254
6.75,28,12,4942768075.945336,3.1984907314629254,0.9034068136272544,14.996689886720967,1.5573646699510058,0.1,eng,3.0,0.06489351030073018,0.6876186727108073,0.1231737545407227,4.7473529622814885
7.0,28,12,4917603970.735234,3.1790247160988643,0.9735470941883766,14.781686799273695,1.5469904191381105,0.1,eng,3.0,0.065231913343336,0.68763153374175,0.12786597106619102,4.681311825839891
2.5,22,15,,,,,,,,,,,,
2.75,22,15,,,,,,,,,,,,
3.0,22,15,,,,,,,,,,,,
3.25,22,15,,,,,,,,,,,,
3.5,22,15,,,,,,,,,,,,
3.75,22,15,,,,,,,,,,,,
4.0,22,15,1741702361.2085805,1.7949231796927188,0.49258517034068133,14.935879497538389,0.5000513439071251,0.1509979532322314,DCLC,4.529938596966942,0.18374669339816335,0.9441217407154292,0.09095302864893208,2.4778797062338644
4.25,22,15,2223689508.0559063,2.1901198229792915,0.3683366733466934,14.966208581831765,0.5008479829248829,0.11915102453722597,DCLC,3.574530736116779,0.09976131642263161,0.838670483806782,0.07865004573132453,3.1096987843640025
4.5,22,15,2647676281.8214397,2.4457665330661316,0.32424849699398794,14.986361665315519,0.5005368535021277,0.10414180715543532,DCLC,3.12425421466306,0.0711302466645112,0.7840703353847798,0.07379305402755175,3.546130215169547
4.75,22,15,2965844253.3130326,2.5152179358717435,0.33627254509018034,14.794175499681167,0.5425904359929159,0.10007800928419372,DCLC,3.0023402785258115,0.0647419871413081,0.7686202057566716,0.07514882667826782,3.643851641189776
5.0,22,15,3236073625.8272448,2.5285571142284566,0.37234468937875753,14.867281108324542,0.61680498329657,0.10008378345394879,DCLC,3.0025135036184634,0.06520414557263063,0.7686423788572472,0.07907679897632319,3.6694201432535434
5.25,22,15,3514602153.4378667,2.53378632264529,0.41042084168336673,14.865712604473703,0.6828662867023033,0.1000891596049415,DCLC,3.0026747881482447,0.06566198017608932,0.7686630229708755,0.08302161973223908,3.6760953826610727
5.5,22,15,3794206685.8018165,2.534819639278557,0.450501002004008,14.837681375554517,0.7422403368069885,0.10010082488928515,DCLC,3.0030247466785545,0.06612617412507826,0.7687078150917904,0.08698099660838791,3.67547558476136
5.75,22,15,,,,,,,,,,,,
6.0,22,15,,,,,,,,,,,,
6.25,22,15,,,,,,,,,,,,
6.5,22,15,,,,,,,,,,,,
6.75,22,15,,,,,,,,,,,,
7.0,22,15,,,,,,,,,,,,
2.5,25,15,,,,,,,,,,,,
2.75,25,15,,,,,,,,,,,,
3.0,25,15,,,,,,,,,,,,
3.25,25,15,,,,,,,,,,,,
3.5,25,15,,,,,,,,,,,,
3.75,25,15,,,,,,,,,,,,
4.0,25,15,2010890559.753986,2.1696726786907146,0.36432865731462927,14.946663544053989,0.5019008286531831,0.1275544792293951,DCLC,3.826634376881853,0.11641505652447878,0.8677414140305861,0.07822096426621863,2.908712474624873
4.25,25,15,2420628835.5946155,2.4647628590514357,0.31623246492985974,14.99349909212287,0.5032204952907331,0.10997259781109316,DCLC,3.2991779343327945,0.07989790686856965,0.805721050525202,0.07287519425091366,3.365072527600213
4.5,25,15,2831730135.1545815,2.669338677354709,0.29819639278557114,14.995175151168604,0.5186492971175182,0.1,eng,3.0028444982740603,0.0631314694301776,0.7686847449461722,0.07076649591789644,3.6886422118143605
4.75,25,15,3113337930.5474143,2.683575484301937,0.3322645290581162,14.969319358759094,0.6043767053158218,0.1,eng,3.001257874188799,0.06352783206078058,0.7684816417091349,0.07469963660097652,3.6933943103835465
5.0,25,15,3423836355.245686,2.698396793587174,0.3683366733466934,14.987532586828822,0.6892445712404045,0.10003908307472348,DCLC,3.0011724922417047,0.06398498681966476,0.7684707104715849,0.07865004573132453,3.707019316876555
5.25,25,15,3743143091.126753,2.7018724949899795,0.4064128256513026,14.913136247653009,0.7639820826179756,0.10009864444530576,DCLC,3.002959333359173,0.0644887732713602,0.7686994428658033,0.08261524617261709,3.6949539897555197
5.5,25,15,4061331834.938096,2.6976035404141614,0.44649298597194387,14.769949206382398,0.828331861588817,0.10014396586182306,DCLC,3.0043189758546918,0.06496737462389562,0.7688734442484964,0.08659320601632672,3.6657161978933535
